agency,jurisdiction,state,no_officers,avg_juris_annual_budget,avg_annual_lawsuit_pmt,pct_total_budget_police_lawsuit,avg_annual_settlement_perofficer,avg_agcy_total_budget,avg_premium,pct_agcy_lawsuit_total_budget,avg_annual_agcy_lawsuit_pmt,avg_addl_lawsuit_pmt_juris,avg_risk_fund_pmt,tot_settle,tot_settle_low,tot_settle_hi,tot_settle_sens,tot_settle_low_sens,tot_settle_hi_sens
Springfield Police Department,Springfield,IL,273,211116955,17772,8.00E-05,65,38002485,,,,,,9273600,4072381.678,14474818.85,7418880,3257905.342,11579855.08
Waco Police Department,Waco,TX,246,202639604,209299,0.001,851,,,,,,,2576000,1131217.133,4020783.014,2060800,904973.7062,3216626.412
Quincy Police Department,Quincy,MA,205,247877300,0,0,0,22833333,,,,,,515200,226243.4266,804156.6029,412160,180994.7412,643325.2823
Concord Police Department,Concord,CA,161,153882103,707334,0.0046,4393,31949193,65699,0.00210,,,,2576000,1131217.133,4020783.014,2060800,904973.7062,3216626.412
Hemet Police Department,Hemet,CA,82,66671474,251085,0.0038,3062,,,,,,,2060800,904973.7062,3216626.412,1648640,723978.965,2573301.129
Concord Police Department,Concord,NH,77,87009840,100311,0.0012,1303,41941983,,,,,,2576000,1131217.133,4020783.014,2060800,904973.7062,3216626.412
Yellowstone County Sheriff's Office,Yellowstone County,MT,55,92398926,134744,0.0014,2450,17009435,,,,,,1545600,678730.2797,2412469.809,1236480,542984.2237,1929975.847
Manatee County Sheriff's Office,Manatee,FL,,,,,,103517000,638000,0.00620,,,,3606400,1583703.986,5629096.22,2885120,1266963.189,4503276.976
DeKalb County Police Department,DeKalb,GA,,,,,,113019119,,0.01690,,,1909956,7212800,3167407.972,11258192.44,5770240,2533926.377,9006553.952
Tampa Police Department,Hillsborough,FL,,,,,,151067298,,0.01000,,,1512478,4121600,1809947.412,6433252.823,3297280,1447957.93,5146602.258
Fort Wayne Police Department,Allen,IN,,,,,,53786546,,0.02250,,,1211502,4636800,2036190.839,7237409.426,3709440,1628952.671,5789927.541
Howard County Police Department,Howard,MD,,,,,,94258214,,0.01780,,,1675860,2576000,1131217.133,4020783.014,2060800,904973.7062,3216626.412
